abstract_detail,author_detail,author_time_detail,comment,picture_detail,reader,reader_time,title_detail
"

                        在我学电影之初呢，其实就有前辈一直告诫我，电影不是讲故事的，是讲思想的，这个思想可以很简单，可以是个概念，可以是个主题，甚至可以只是一个氛围。而故事，可以是你为了表达思想而着重笔墨，也可以仅仅是一个载体。 我们都认为，视听语言都是为故事服务的，那么故事可不可...

                         (",废话队长,2021-06-12 21:56:25,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2654818960.jpg,,,《你好世界》剧情全解析+世界观解读：远不是表面上的「纯爱」那么简单
")
                    ",半瓶摇,2021-06-13 19:33:53,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2654538295.jpg,,,也许能更好，但这样也不坏
")
                    ",Sarah Kang,2021-06-11 11:25:00,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2642192924.jpg,,,《烈性》对理想的纯真力量
")
                    ",新世相,2021-06-11 12:31:09,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2627893819.jpg,,,成人片《海绵宝宝》骗了你22年
"
                            ",🍋🥥🍎,2021-06-13 16:28:29,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2654538295.jpg,,,他从西湖边走来，“隔扇羞窥意中人”“桃花得气美人中”
"
                            ",元铭清,2021-06-12 23:18:26,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2654729576.jpg,,,用单一画面视听语言突出的人性转变——从电影制作角度对《热带往事》进行视听语言小评
")
                    ",简单一点,2021-06-08 01:17:41,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2647381880.jpg,,,简评叛逆者：这叙事功力不愧是李晓明编剧——好作品的核心是故事，演职人员的完美配合是保障
"

                        （代发repo，微博id：忽然落雨） 青树绿水，白墙黑瓦，烟雨朦胧的江南水乡，才情百结的西子湖堤。粘湿温吞的是水乡的景，也是水乡的人。 这部电影跟七月与安生气质上有些相似之处，两个亦友亦情敌的姐妹，只不过比之前者，柳浪闻莺多一份戏曲文化式微的大背景（虽然越剧段落林...

                         (",祝阿离,2021-06-11 21:02:37,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2646380991.jpg,,,垃圾电影
"

                        故事线上，我跟一些友邻的看法大体没有出入，只在一些细节上有不同的观察，当然，这也导致了我们截然不同的结论。所以，记事上我会采用相对简略的叙述方式，着重提出我的疑惑，以及解谜的推导过程。 故事线解析 2027年，现实世界中16岁的的坚书和琉璃相恋（做完观影团发现好像...

                         (",orangelee,2021-06-13 16:38:11,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2654538295.jpg,,,郑云龙《柳浪闻莺》
"

                        土生土长的杭州人，之前就很喜欢王旭烽老师的原著，王星记扇子，天工艺苑，大戏台子，美院，一公园到六公园弹唱的越剧，原著里的场景都太熟悉了，这次改编成电影，迫不及待地就去看了。 影片质感真好，画面唯美，就跟西湖的美景一样。郑云龙的工欲善，一开口的语气语调就很江南...

                         (",夺铎堕,2021-06-13 18:54:02,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1231141313.jpg,,,[存档] 直到光把我们带走 影视原声
